NPTDR File Region	NPTDR File Admin Area	NPTDR Operator Code	Code Problem	NPTDR Route Numbers
South East	Kent	RHDR	missing	BusRoute RHDR
South East	Kent	IC	missing	BusRoute AA21
South East	Kent	XK	missing	BusRoute D
South East	Kent	PO	missing	BusRoute PO
South East	Kent	RED	ambiguous	BusRoute 223, BusRoute 311, BusRoute 433
South West	Bristol	CI	missing	BusRoute 52
South West	Bristol	BL	missing	BusRoute 178, BusRoute 309, BusRoute 310, BusRoute 318, BusRoute 319, BusRoute 327, BusRoute 329, BusRoute 332, BusRoute 339, BusRoute 342, BusRoute 349, BusRoute 351, BusRoute 352, BusRoute 353, BusRoute 354, BusRoute 357, BusRoute 358, BusRoute 359, BusRoute 361, BusRoute 362, BusRoute 363, BusRoute 376, BusRoute 379, BusRoute 649, BusRoute X1, BusRoute X39, BusRoute X42
South West	Bristol	FK	missing	CoachRoute 200, CoachRoute 201, CoachRoute 202
South West	Bristol	MB	missing	CoachRoute M10, CoachRoute M6, CoachRoute M7
South West	Bristol	NX	missing	CoachRoute 300, CoachRoute 672
South West	Poole	DCL	missing	BusRoute 8
South West	Poole	FK	missing	CoachRoute 205
South West	Poole	NX	missing	CoachRoute 310
Yorkshire	South Yorkshire	FK	missing	CoachRoute 240
Yorkshire	South Yorkshire	MB	missing	CoachRoute M12, CoachRoute M20, CoachRoute M35, CoachRoute MBP
Yorkshire	South Yorkshire	NX	missing	CoachRoute 310, CoachRoute 351
Yorkshire	South Yorkshire	EMS	missing	BusRoute 19, BusRoute 19A, BusRoute 216, BusRoute 25, BusRoute 29, BusRoute 53
Yorkshire	South Yorkshire	VEO	missing	BusRoute 11A, BusRoute 122, BusRoute 227, BusRoute 261, BusRoute 437, BusRoute 443, BusRoute A1, BusRoute X12
Yorkshire	South Yorkshire	BND	missing	BusRoute 108, BusRoute 109, BusRoute 143, BusRoute 20, BusRoute 21, BusRoute 219, BusRoute 220, BusRoute 221, BusRoute 222, BusRoute 224, BusRoute 225, BusRoute 226, BusRoute 229, BusRoute 23, BusRoute 24, BusRoute 24A, BusRoute 265, BusRoute 31, BusRoute 32, BusRoute 35, BusRoute 35A, BusRoute 36, BusRoute 408, BusRoute 428, BusRoute 42A, BusRoute 43, BusRoute 438, BusRoute 44, BusRoute 444, BusRoute 44A, BusRoute 453, BusRoute 455, BusRoute 456, BusRoute 46, BusRoute 485, BusRoute 489, BusRoute 496, BusRoute 497, BusRoute 59, BusRoute 68, BusRoute 68A, BusRoute 92, BusRoute 92A, BusRoute 93, BusRoute 93A, BusRoute 95A, BusRoute X19
Yorkshire	South Yorkshire	TMT	missing	BusRoute 218
Yorkshire	South Yorkshire	SST	missing	BusRoute ELL0, BusRoute LUE0, BusRoute URP0
West Midlands	Telford & Wrekin	BUT	missing	BusRoute 719, BusRoute 816
West Midlands	Worcestershire	NXB	missing	BusRoute 244, BusRoute 49, BusRoute 49A, BusRoute 63
West Midlands	Worcestershire	CWL	missing	BusRoute 152, BusRoute 375, BusRoute 543, BusRoute 556, BusRoute 558, BusRoute 560, BusRoute 562, BusRoute 565, BusRoute 575, BusRoute 581, BusRoute 582, BusRoute 583, BusRoute 584, BusRoute 973
West Midlands	Worcestershire	BCC	missing	BusRoute 137, BusRoute 140, BusRoute 141, BusRoute 157, BusRoute 19, BusRoute 20, BusRoute 20A, BusRoute 30, BusRoute 31, BusRoute 333, BusRoute 35, BusRoute 350, BusRoute 362, BusRoute 363, BusRoute 377, BusRoute 382, BusRoute 50, BusRoute 55A, BusRoute 56A, BusRoute 57A, BusRoute 58A, BusRoute 61, BusRoute 64, BusRoute 93
West Midlands	Worcestershire	ZZZ	missing	BusRoute 844
West Midlands	Worcestershire	CWY	missing	BusRoute 99
West Midlands	Worcestershire	MRL	missing	BusRoute X7, BusRoute X95
West Midlands	Worcestershire	LMS	missing	BusRoute 26A, BusRoute 27A, BusRoute 308, BusRoute 309, BusRoute 310, BusRoute 311, BusRoute 383, BusRoute 39
West Midlands	Worcestershire	CTX	missing	BusRoute 22, BusRoute 23, BusRoute 24
Yorkshire	West Yorkshire	HBE	missing	BusRoute 528, BusRoute 531, BusRoute 534, BusRoute 536, BusRoute 557, BusRoute 559, BusRoute 574, BusRoute 577, BusRoute 832
Yorkshire	West Yorkshire	FCH	missing	BusRoute 181, BusRoute 182, BusRoute 186, BusRoute 200, BusRoute 226, BusRoute 302, BusRoute 303, BusRoute 306, BusRoute 307, BusRoute 308, BusRoute 312, BusRoute 313, BusRoute 314, BusRoute 316, BusRoute 321, BusRoute 323, BusRoute 324, BusRoute 327, BusRoute 328, BusRoute 336, BusRoute 337, BusRoute 342, BusRoute 346, BusRoute 353, BusRoute 356, BusRoute 358, BusRoute 363, BusRoute 370, BusRoute 371, BusRoute 372, BusRoute 387, BusRoute 398, BusRoute 399, BusRoute 501, BusRoute 502, BusRoute 503, BusRoute 505, BusRoute 507, BusRoute 508, BusRoute 510, BusRoute 511, BusRoute 512, BusRoute 513, BusRoute 517, BusRoute 521, BusRoute 522, BusRoute 523, BusRoute 526, BusRoute 535, BusRoute 537, BusRoute 538, BusRoute 539, BusRoute 541, BusRoute 542, BusRoute 546, BusRoute 547, BusRoute 548, BusRoute 549, BusRoute 554, BusRoute 560, BusRoute 570, BusRoute 571, BusRoute 572, BusRoute 576, BusRoute 579, BusRoute 589, BusRoute 590, BusRoute 591, BusRoute 592, BusRoute 593, BusRoute 594, BusRoute 906, BusRoute A, BusRoute B, BusRoute D, BusRoute E, BusRoute FLX1, BusRoute FLX2, BusRoute T1, BusRoute T2, BusRoute T3, BusRoute T4, BusRoute T5, BusRoute T6, BusRoute T8, BusRoute T9, BusRoute X13
Yorkshire	West Yorkshire	PRO	missing	BusRoute 767
Yorkshire	West Yorkshire	BND	missing	BusRoute 20, BusRoute 35, BusRoute 36, BusRoute 46, BusRoute 47, BusRoute 59
Yorkshire	West Yorkshire	FL	missing	BusRoute 1, BusRoute 11, BusRoute 12, BusRoute 13, BusRoute 13A, BusRoute 16, BusRoute 16A, BusRoute 18, BusRoute 18A, BusRoute 2, BusRoute 28, BusRoute 3, BusRoute 33, BusRoute 33A, BusRoute 38, BusRoute 3A, BusRoute 4, BusRoute 40, BusRoute 40A, BusRoute 42, BusRoute 45, BusRoute 49, BusRoute 5, BusRoute 50, BusRoute 50A, BusRoute 51, BusRoute 55, BusRoute 56, BusRoute 6, BusRoute 64, BusRoute 64A, BusRoute 67, BusRoute 71, BusRoute 74A, BusRoute 80, BusRoute 86, BusRoute 87, BusRoute 9, BusRoute 90, BusRoute 91, BusRoute 91A, BusRoute 95, BusRoute 965, BusRoute 98, BusRoute 99, BusRoute AG2, BusRoute FCB, BusRoute X14, BusRoute X35, BusRoute X55, BusRoute X84, BusRoute X98
Yorkshire	West Yorkshire	WRB	missing	BusRoute 15, BusRoute 32, BusRoute 61, BusRoute 62, BusRoute 63, BusRoute 63A, BusRoute 63B, BusRoute 737, BusRoute 747, BusRoute 757, BusRoute 781, BusRoute 8, BusRoute 86A, BusRoute 92
Yorkshire	West Yorkshire	BLTR	missing	BusRoute 223, BusRoute 249
Yorkshire	West Yorkshire	YRB	missing	BusRoute 607, BusRoute 610, BusRoute 611, BusRoute 612, BusRoute 613, BusRoute 614, BusRoute 615, BusRoute 616, BusRoute 617, BusRoute 618, BusRoute 619, BusRoute 620, BusRoute 621, BusRoute 622, BusRoute 623, BusRoute 624, BusRoute 625, BusRoute 626, BusRoute 627, BusRoute 630, BusRoute 636, BusRoute 637, BusRoute 640, BusRoute 641, BusRoute 645, BusRoute 649, BusRoute 650, BusRoute 652, BusRoute 653, BusRoute 656, BusRoute 657, BusRoute 658, BusRoute 659, BusRoute 660, BusRoute 670, BusRoute 675, BusRoute 677, BusRoute 680, BusRoute 681, BusRoute 682, BusRoute 709, BusRoute 710, BusRoute 714, BusRoute 72, BusRoute 845, BusRoute 846, BusRoute 990, BusRoute X11, BusRoute X6
Yorkshire	West Yorkshire	TEDE	missing	BusRoute 301A, BusRoute 302A, BusRoute 304, BusRoute 315, BusRoute 319, BusRoute 324B, BusRoute 343, BusRoute 357, BusRoute 360, BusRoute 366, BusRoute 368, BusRoute 900, BusRoute 901, BusRoute 911, BusRoute 933, BusRoute FTB
Yorkshire	West Yorkshire	BE	missing	CoachRoute 880
Yorkshire	West Yorkshire	NEWB	missing	CoachRoute SB
Yorkshire	West Yorkshire	FK	missing	CoachRoute 240
Yorkshire	West Yorkshire	MB	missing	CoachRoute M12, CoachRoute M20, CoachRoute MBP
Yorkshire	West Yorkshire	NX	missing	CoachRoute 320, CoachRoute 351, CoachRoute 380, CoachRoute 381, CoachRoute 383
Yorkshire	West Yorkshire	SH	missing	CoachRoute 060
South West	Southampton	FK	missing	CoachRoute 203, CoachRoute 205
South West	Southampton	NX	missing	CoachRoute 300
South West	Torbay	_DP	missing	BusRoute 100, BusRoute 25
South West	Torbay	DMS	missing	BusRoute 500
South West	Torbay	DVR	missing	TramMetroRoute 504
South West	Torbay	MB	missing	CoachRoute M36
South West	Swindon	MB	missing	CoachRoute M14
South East	Slough	NEWB	missing	CoachRoute SB, CoachRoute SW
South East	Slough	TDV	missing	BusRoute 81
South East	Slough	FST	missing	BusRoute 60
North East	Tyne & Wear	MB	missing	CoachRoute M12, CoachRoute M20
North East	Tyne & Wear	NX	missing	CoachRoute 380, CoachRoute 381, CoachRoute 383, CoachRoute 534
North East	Tyne & Wear	TW	missing	TrainRoute 2I05, TrainRoute 2I06, TrainRoute 2I10, TrainRoute 2I11
North East	Tyne & Wear	PCL	missing	BusRoute A1
North East	Tyne & Wear	CLB	missing	BusRoute 10C, BusRoute 127, BusRoute 148, BusRoute 465, BusRoute 849, BusRoute 868, BusRoute 882, BusRoute 883, BusRoute 885, BusRoute R5, BusRoute S1, BusRoute S2
North East	Tyne & Wear	AKN	missing	BusRoute B529, BusRoute TB12
North East	Tyne & Wear	ECM	missing	BusRoute B503, BusRoute B504
North East	Tyne & Wear	UUU	missing	BusRoute B300
Scotland	Aberdeen	MB	missing	CoachRoute M11
Scotland	Aberdeen	NX	missing	CoachRoute 538
Scotland	Aberdeen	CEN	missing	BusRoute 420
Wales	Conwy	NWAB	missing	BusRoute NW1
Wales	Conwy	GH00	ambiguous	BusRoute 91, BusRoute 95
Wales	Conwy	NX	missing	CoachRoute 380
South West	Cornwall	MB	missing	CoachRoute M6
East Anglia	Cambridgeshire	JL	missing	CoachRoute 727, CoachRoute 787, CoachRoute 797
East Anglia	Cambridgeshire	TVN	missing	BusRoute RT20
East Anglia	Cambridgeshire	SIF	missing	BusRoute 005B, BusRoute 139, BusRoute 15, BusRoute 18, BusRoute 18A, BusRoute 20, BusRoute 21, BusRoute 30, BusRoute 35, BusRoute 400, BusRoute 401, BusRoute 402, BusRoute 403, BusRoute 404, BusRoute 405, BusRoute 406, BusRoute 407, BusRoute 408, BusRoute 409, BusRoute 414, BusRoute 431, BusRoute 45, BusRoute 55, BusRoute 62, BusRoute 64, BusRoute 65, BusRoute 66, BusRoute 67, BusRoute 68, BusRoute 91, BusRoute 95, BusRoute 96, BusRoute A, BusRoute B, BusRoute T1, BusRoute T2, BusRoute T3, BusRoute T4, BusRoute T5, BusRoute T6, BusRoute T7
East Anglia	Cambridgeshire	CB	ambiguous	BusRoute 90
Wales	Cardiff	FK	missing	CoachRoute 201, CoachRoute 202
Wales	Cardiff	MB	missing	CoachRoute M10, CoachRoute M36, CoachRoute M6, CoachRoute M7
Wales	Cardiff	NX	missing	CoachRoute 672
Wales	Cardiff	CTW0	missing	BusRoute 701
Wales	Cardiff	WM0	missing	BusRoute 138, BusRoute 2, BusRoute 22
Wales	Cardiff	WTB	missing	BusRoute WTB
Wales	Cardiff	SH00	missing	BusRoute 122, BusRoute 600
Wales	Cardiff	FC00	ambiguous	BusRoute 100, BusRoute 601, BusRoute 602, BusRoute 613, BusRoute 619, BusRoute 633, BusRoute 638, BusRoute 803, BusRoute 89, BusRoute PR1, BusRoute X2
Wales	Cardiff	SS00	ambiguous	BusRoute X43
Wales	Cardiff	BE00	ambiguous	BusRoute 26A, BusRoute 3, BusRoute 400, BusRoute B5, BusRoute X5
Wales	Torfaen	MB	missing	CoachRoute M10, CoachRoute M7
Wales	Torfaen	BE00	ambiguous	BusRoute 13, BusRoute 14, BusRoute 15, BusRoute 83
South East	Milton Keynes	JL	missing	CoachRoute 707, CoachRoute 767
South East	Milton Keynes	FK	missing	CoachRoute 230, CoachRoute 777
South East	Milton Keynes	WBUS	missing	BusRoute W11, BusRoute W13
South East	Milton Keynes	CB	ambiguous	BusRoute X31
Wales	Caerphilly	RL-C	missing	BusRoute 901
Wales	Caerphilly	CON2	missing	BusRoute C1, BusRoute M
Wales	Caerphilly	SH00	missing	BusRoute 3, BusRoute 52, BusRoute 7, BusRoute H, BusRoute K, BusRoute L
Wales	Caerphilly	BE00	ambiguous	BusRoute 554, BusRoute B5, BusRoute R2
Wales	Caerphilly	HA00	ambiguous	BusRoute 538, BusRoute 9, BusRoute C17, BusRoute C8
Wales	Caerphilly	GC00	ambiguous	BusRoute 79
Scotland	Midlothian	ALG	missing	BusRoute P15
Scotland	Midlothian	NX	missing	CoachRoute 383
Wales	Wrexham	NX	missing	CoachRoute 383, CoachRoute 533
Wales	Wrexham	BM00	ambiguous	BusRoute 64A, BusRoute 64B
Wales	Wrexham	GH00	ambiguous	BusRoute 141, BusRoute 142, BusRoute 146, BusRoute 14Y, BusRoute 17, BusRoute 23, BusRoute 31, BusRoute 34, BusRoute 40, BusRoute 41, BusRoute 42, BusRoute 5, BusRoute 6, BusRoute 60, BusRoute 65, BusRoute 95, BusRoute X46, BusRoute X50, BusRoute X9
Wales	Bridgend	CTL0	missing	BusRoute V3, BusRoute V4
Wales	Bridgend	RL-L	missing	BusRoute 904
Wales	Bridgend	BTW	missing	BusRoute 16, BusRoute 37
Wales	Bridgend	SH00	missing	BusRoute 215, BusRoute 44
Wales	Bridgend	FC00	ambiguous	BusRoute 1, BusRoute 100, BusRoute 11, BusRoute 12, BusRoute 13, BusRoute 14, BusRoute 15, BusRoute 2, BusRoute 21, BusRoute 22, BusRoute 224, BusRoute 3, BusRoute 30, BusRoute 32, BusRoute 36, BusRoute 39, BusRoute 4, BusRoute 45, BusRoute 46, BusRoute 56, BusRoute 61, BusRoute 62, BusRoute 63, BusRoute 63B, BusRoute 801, BusRoute X1, BusRoute X2, BusRoute X3
Wales	Bridgend	FK	missing	CoachRoute 201, CoachRoute 202
Scotland	Renfrewshire	WIL	missing	BusRoute W2, BusRoute W3
Scotland	Renfrewshire	CLK	missing	FerryRoute CLK
North West	Blackpool	1011	missing	TramMetroRoute TRAM
North West	Blackpool	CLC	missing	CoachRoute 352, CoachRoute 355
North West	Blackpool	SCL	missing	CoachRoute 618
North West	Blackpool	NX	missing	CoachRoute 351, CoachRoute 542
North East	Northumberland	STR	missing	TramMetroRoute RAIL
North East	Northumberland	NX	missing	CoachRoute 383
North East	Northumberland	AST	missing	BusRoute 219, BusRoute 221, BusRoute 222, BusRoute 226, BusRoute 444, BusRoute 495, BusRoute M17, BusRoute M3
North East	Northumberland	PCL	missing	BusRoute 393, BusRoute A1
North East	Northumberland	NMC	missing	BusRoute 423
North East	Northumberland	SBC	missing	BusRoute 905
South East	West Sussex	BBR	missing	BusRoute BBR0
South East	West Sussex	HBB	missing	BusRoute G23
South East	West Sussex	BAA	missing	TramMetroRoute SHTL
South East	West Sussex	JL	missing	CoachRoute 707, CoachRoute 727, CoachRoute 747, CoachRoute 787, CoachRoute 797
South East	West Sussex	FK	missing	CoachRoute 200, CoachRoute 201, CoachRoute 205, CoachRoute 210, CoachRoute 230, CoachRoute 240
Yorkshire	York	MB	missing	CoachRoute MBP
Yorkshire	York	NX	missing	CoachRoute 380, CoachRoute 534
East Midlands	Nottinghamshire	2252	missing	BusRoute TP
East Midlands	Nottinghamshire	XISL	missing	BusRoute 646
South East	Medway	RED	ambiguous	BusRoute 171
East Midlands	Northamptonshire	JL	missing	CoachRoute 707
East Midlands	Northamptonshire	LAW	missing	BusRoute R11, BusRoute R12, BusRoute R13, BusRoute R14
East Midlands	Northamptonshire	SIF	missing	BusRoute 403, BusRoute 406
East Midlands	Northamptonshire	YC	ambiguous	BusRoute 151, BusRoute 152, BusRoute 153, BusRoute 154, BusRoute 54, BusRoute Y4
Scotland	Orkney Islands	OCT	missing	BusRoute 13
Scotland	Orkney Islands	OKC	missing	BusRoute 2, BusRoute 3, BusRoute 4, BusRoute 5, BusRoute 6, BusRoute 7, BusRoute 8, BusRoute 9A, BusRoute 9B, BusRoute 9C, BusRoute X1, BusRoute X10
North West	Lancashire	FCH	missing	BusRoute 517, BusRoute 589, BusRoute 592
North West	Lancashire	2079	missing	BusRoute 476, BusRoute 480, BusRoute 484
North West	Lancashire	PMS	missing	BusRoute 215
North West	Lancashire	1892	missing	BusRoute 206
North West	Lancashire	1032	missing	BusRoute 733, BusRoute 762
North West	Lancashire	BP	missing	BusRoute 1, BusRoute 21, BusRoute 22, BusRoute 23
North West	Lancashire	1676	missing	BusRoute 934, BusRoute 973
North West	Lancashire	1467	missing	BusRoute 819
North West	Lancashire	1045	missing	BusRoute 518, BusRoute 522
North West	Lancashire	2710	missing	BusRoute 319, BusRoute 39
North West	Lancashire	1721	missing	BusRoute 699
North West	Lancashire	2766	missing	BusRoute 221, BusRoute 63
North West	Lancashire	2778	missing	BusRoute 991
North West	Lancashire	1071	missing	BusRoute 732
North West	Lancashire	2757	missing	BusRoute 646
North West	Lancashire	2153	missing	BusRoute 573
North West	Lancashire	2043	missing	BusRoute 313, BusRoute 395
North West	Lancashire	1083	missing	BusRoute 857
North West	Lancashire	1094	missing	BusRoute 597, BusRoute 599, BusRoute 602, BusRoute 603, BusRoute 613
North West	Lancashire	2758	missing	BusRoute 560
North West	Lancashire	2088	missing	BusRoute 3, BusRoute 3A
North West	Lancashire	SR	missing	BusRoute 81B
North West	Lancashire	2759	missing	BusRoute 774
North West	Lancashire	1062	missing	BusRoute 612, BusRoute 639
North West	Lancashire	LU	missing	BusRoute 280
North West	Lancashire	1968	missing	BusRoute 638
North West	Lancashire	1096	missing	BusRoute 490
North West	Lancashire	1011	missing	TramMetroRoute TRAM
North West	Lancashire	CLC	missing	CoachRoute 352, CoachRoute 355
North West	Lancashire	MB	missing	CoachRoute M11, CoachRoute M17
North West	Lancashire	NX	missing	CoachRoute 351, CoachRoute 533, CoachRoute 538, CoachRoute 542
South West	Plymouth	SB	missing	BusRoute 223
South West	Plymouth	MB	missing	CoachRoute M6
East Midlands	Leicestershire	FK	missing	CoachRoute 240
East Midlands	Leicestershire	AM	missing	BusRoute 104, BusRoute 11, BusRoute 126, BusRoute 127, BusRoute 14, BusRoute 152, BusRoute 153, BusRoute 16A, BusRoute 28, BusRoute 31, BusRoute 31A, BusRoute 44A, BusRoute 47, BusRoute 49, BusRoute 49A, BusRoute 49B, BusRoute 5, BusRoute 50, BusRoute 50A, BusRoute 5A, BusRoute 6, BusRoute 80, BusRoute 80A, BusRoute 84, BusRoute 84A, BusRoute 85, BusRoute X3
East Midlands	Leicestershire	CBN	missing	BusRoute 140
East Midlands	Leicestershire	AFC	missing	BusRoute 158
East Midlands	Leicestershire	WH	ambiguous	BusRoute H1
Wales	Merthyr Tydfil	VRTR	missing	BusRoute 19
Wales	Merthyr Tydfil	SH00	missing	BusRoute 3, BusRoute 7
Wales	Merthyr Tydfil	SS00	ambiguous	BusRoute X43
Wales	Merthyr Tydfil	BE00	ambiguous	BusRoute B5
Wales	Merthyr Tydfil	GC00	ambiguous	BusRoute 28, BusRoute 80
Wales	Merthyr Tydfil	JO00	ambiguous	BusRoute 20, BusRoute 21, BusRoute 22
West Midlands	Shropshire	GHW	missing	BusRoute 120, BusRoute 132, BusRoute 790
West Midlands	Shropshire	BUT	missing	BusRoute 816
West Midlands	Shropshire	BTW	missing	BusRoute X11
West Midlands	Shropshire	BM00	ambiguous	BusRoute 64A
West Midlands	Shropshire	GH00	ambiguous	BusRoute 146, BusRoute 6, BusRoute 60, BusRoute 65, BusRoute X46, BusRoute X9
West Midlands	Shropshire	WO00	ambiguous	BusRoute 777
West Midlands	Shropshire	WH00	ambiguous	BusRoute 773
Wales	Blaenau Gwent	SH00	missing	BusRoute 52
Wales	Blaenau Gwent	RM00	ambiguous	BusRoute 2
Wales	Blaenau Gwent	MT00	ambiguous	BusRoute 48, BusRoute 49
Wales	Carmarthenshire	NX	missing	CoachRoute 508
Wales	Carmarthenshire	CTW0	missing	BusRoute 701
Wales	Carmarthenshire	PTI1	missing	BusRoute L27
Wales	Carmarthenshire	BTW	missing	BusRoute 125, BusRoute 126, BusRoute 127, BusRoute 130, BusRoute 145, BusRoute 146, BusRoute 164
